rank_1y_performance,symbol,companyName,exchange,sector,industry,marketCap,as_of_date,latest_price,return_1d_pct,return_5d_pct,return_1m_pct,return_3m_pct,return_6m_pct,return_1y_pct,ytd_return_pct,one_year_high,drawdown_from_1y_high_pct,observations
1,SNDK,Sandisk,US,Information Technology,"Technology Hardware, Storage & Peripherals",230919313491.0,2026-06-05,1559.3199,-11.39,-8.0,10.59,195.7,702.2,3815.92,466.53,1831.5,-14.86,288
2,LITE,Lumentum,US,Information Technology,Communications Equipment,67192745911.0,2026-06-05,863.66,-8.62,1.02,-8.54,54.66,185.06,975.81,123.68,1053.09,-17.99,288
3,WDC,Western Digital,US,Information Technology,"Technology Hardware, Storage & Peripherals",176380740496.0,2026-06-05,511.72,-11.06,-3.64,5.94,108.71,229.4,842.69,172.83,593.9551,-13.85,288
4,MU,Micron Technology,US,Information Technology,Semiconductors,974373508418.0,2026-06-05,864.01,-13.25,-11.02,29.62,133.43,269.29,738.82,174.04,1079.5699,-19.97,288
5,STX,Seagate Technology,US,Information Technology,"Technology Hardware, Storage & Peripherals",191741874118.0,2026-06-05,847.47,-8.48,-3.67,7.76,140.63,229.06,572.51,195.25,940.69,-9.91,288
6,CIEN,Ciena,US,Information Technology,Communications Equipment,69107550840.0,2026-06-05,488.21,-8.85,-15.86,-15.36,65.96,152.5,481.96,98.41,627.0,-22.14,288
7,INTC,Intel,US,Information Technology,Semiconductors,498428410797.0,2026-06-05,99.17,-11.28,-13.52,-12.25,128.4,126.62,389.73,151.83,129.44,-23.39,288
8,COHR,Coherent Corp.,US,Information Technology,Electronic Components,73754065713.0,2026-06-05,376.99,-10.64,4.29,9.38,59.93,120.51,361.83,93.99,426.89,-11.69,288
9,TER,Teradyne,US,Information Technology,Semiconductor Materials & Equipment,56031134898.0,2026-06-05,357.93,-12.03,-4.38,-6.38,31.14,83.62,337.3,72.58,417.9221,-14.35,288
10,AMD,Advanced Micro Devices,US,Information Technology,Semiconductors,760479533979.0,2026-06-05,466.38,-10.86,-9.63,10.68,142.36,114.33,293.3,108.7,542.52,-14.03,288
12,LRCX,Lam Research,US,Information Technology,Semiconductor Materials & Equipment,379263466393.0,2026-06-05,303.28,-9.85,-4.68,2.06,52.15,90.07,260.39,64.08,343.71,-11.76,288
13,DELL,Dell Technologies,US,Information Technology,"Technology Hardware, Storage & Peripherals",256183246225.0,2026-06-05,394.39,-6.55,-6.3,65.15,170.08,197.34,255.27,210.91,465.96,-15.36,288
14,GLW,Corning Inc.,US,Information Technology,Electronic Components,152832066539.0,2026-06-05,177.58,-10.18,-1.98,-2.05,44.26,113.27,253.67,96.52,207.9613,-14.61,288
15,HPE,Hewlett Packard Enterprise,US,Information Technology,"Technology Hardware, Storage & Peripherals",65150814243.0,2026-06-05,49.2,-8.36,14.31,62.0,134.35,123.79,182.76,104.87,56.15,-12.38,288
16,AMAT,Applied Materials,US,Information Technology,Semiconductor Materials & Equipment,359671569138.0,2026-06-05,453.01,-9.71,0.66,5.82,39.67,69.06,181.81,68.91,501.7,-9.71,288
18,VRT,Vertiv,US,Industrials,Electrical Components & Equipment,115428544047.0,2026-06-05,300.51,-7.23,-4.81,-16.27,24.32,68.04,166.62,71.16,376.23,-20.13,288
20,KLAC,KLA Corporation,US,Information Technology,Semiconductor Materials & Equipment,252006607135.0,2026-06-05,1929.2,-9.47,0.39,6.35,43.67,59.62,148.26,51.76,2131.1001,-9.47,288
21,ON,ON Semiconductor,US,Information Technology,Semiconductors,45591063007.0,2026-06-05,117.26,-11.05,-2.79,10.86,106.19,105.18,133.21,106.81,133.93,-12.45,288
24,MPWR,Monolithic Power Systems,US,Information Technology,Semiconductors,72762903289.0,2026-06-05,1481.05,-10.38,-5.44,-10.37,45.04,55.17,114.8,58.5,1689.89,-12.36,288
31,CSCO,Cisco,US,Information Technology,Communications Equipment,479436110245.0,2026-06-05,121.64,-6.43,1.01,32.74,55.52,58.14,93.26,60.84,130.0,-6.43,288
34,ADI,Analog Devices,US,Information Technology,Semiconductors,195511874121.0,2026-06-05,401.39,-6.38,-2.75,-3.16,27.45,45.62,86.17,47.49,437.67,-8.29,288
35,NEM,Newmont,US,Materials,Gold,106445685121.0,2026-06-05,99.71,-7.96,-9.2,-13.17,-14.06,11.71,82.29,-1.06,131.3767,-24.1,288
40,BKR,Baker Hughes,US,Energy,Oil & Gas Equipment & Services,62093579897.0,2026-06-05,62.59,-5.32,-2.02,-6.12,5.0,24.85,70.74,33.72,69.4378,-9.86,288
42,SLB,Schlumberger,US,Energy,Oil & Gas Equipment & Services,82033812262.0,2026-06-05,54.87,-5.41,1.11,-0.0,17.61,47.76,69.58,38.02,58.01,-5.41,288
49,ANET,Arista Networks,US,Information Technology,Communications Equipment,194252074580.0,2026-06-05,154.27,-7.07,-3.26,4.9,16.09,20.71,62.49,15.47,177.73,-13.2,288
51,FCX,Freeport-McMoRan,US,Materials,Copper,91098167110.0,2026-06-05,63.37,-9.07,-3.56,4.07,6.99,42.98,56.89,22.6,71.72,-11.64,288
56,TXN,Texas Instruments,US,Information Technology,Semiconductors,259431048781.0,2026-06-05,285.06,-6.65,-6.75,-1.51,48.27,57.93,53.66,62.45,324.89,-12.26,288
59,APH,Amphenol,US,Information Technology,Electronic Components,170768840307.0,2026-06-05,138.81,-5.42,-6.69,0.25,5.47,0.51,52.1,-0.45,165.9221,-16.34,288
64,AVGO,Broadcom,US,Information Technology,Semiconductors,1826303610631.0,2026-06-05,385.73,-7.92,-13.66,-9.33,16.96,1.75,48.94,11.2,481.57,-19.9,288
65,QCOM,Qualcomm,US,Information Technology,Semiconductors,227600762573.0,2026-06-05,215.94,-10.98,-13.66,12.55,59.73,25.23,48.82,26.1,250.0963,-13.66,288
67,CRWD,CrowdStrike,US,Information Technology,Systems Software,170818090488.0,2026-06-05,671.02,-6.68,-8.21,43.36,56.42,28.02,45.7,47.94,782.17,-14.21,288
69,NVDA,Nvidia,US,Information Technology,Semiconductors,4967727247833.0,2026-06-05,205.1,-6.2,-2.75,-1.2,15.48,14.35,44.72,8.74,235.4656,-12.9,288
72,NXPI,NXP Semiconductors,US,Information Technology,Semiconductors,74721338383.0,2026-06-05,295.96,-8.15,-7.9,-2.5,47.47,31.32,43.61,34.44,332.67,-11.03,288
76,FANG,Diamondback Energy,US,Energy,Oil & Gas Exploration & Production,54186565895.0,2026-06-05,192.62,-5.09,0.6,-0.72,7.28,23.02,41.79,27.9,212.5211,-9.36,288
80,MCHP,Microchip Technology,US,Information Technology,Semiconductors,47887281698.0,2026-06-05,88.34,-8.27,-6.67,-13.74,37.07,40.4,40.31,37.33,102.406,-13.74,288
95,APP,AppLovin,US,Information Technology,Application Software,187185505202.0,2026-06-05,557.2,-0.3,-9.12,18.85,10.97,-15.86,33.78,-9.88,733.6,-24.05,288
99,REGN,Regeneron Pharmaceuticals,US,Health Care,Biotechnology,66619964164.0,2026-06-05,635.45,1.07,3.36,-11.74,-16.25,-11.95,31.76,-17.92,810.0842,-21.56,288
109,ORCL,Oracle Corporation,US,Information Technology,Application Software,614553488215.0,2026-06-05,213.68,-9.59,-5.36,10.13,40.18,3.5,28.39,9.85,325.7593,-34.41,288
112,CDNS,Cadence Design Systems,US,Information Technology,Application Software,103759221713.0,2026-06-05,376.19,-8.62,0.34,6.0,26.69,11.92,27.78,21.2,416.39,-9.65,288
123,ETN,Eaton Corporation,US,Industrials,Electrical Components & Equipment,153743502948.0,2026-06-05,395.94,-5.42,-1.16,-5.78,14.53,18.69,22.46,21.68,431.8167,-8.31,288
132,TSLA,"Tesla, Inc.",US,Consumer Discretionary,Automobile Manufacturers,1468488033561.0,2026-06-05,391.0,-6.56,-10.28,-1.94,-1.44,-12.48,17.75,-10.74,489.88,-20.18,288
135,TMO,Thermo Fisher Scientific,US,Health Care,Life Sciences Tools & Services,175702624116.0,2026-06-05,472.8,-1.91,-4.0,-0.03,-5.72,-18.4,17.56,-20.12,638.8185,-25.99,288
146,HOOD,Robinhood Markets,US,Financials,Investment Banking & Brokerage,74264653150.0,2026-06-05,82.47,-6.63,-12.55,4.33,6.98,-38.29,14.11,-28.42,152.46,-45.91,288
149,NOC,Northrop Grumman,US,Industrials,Aerospace & Defense,77323027802.0,2026-06-05,544.4,-0.14,-3.0,-2.29,-27.68,-0.86,12.55,-6.34,764.6547,-28.8,288
153,LMT,Lockheed Martin,US,Industrials,Aerospace & Defense,120759997578.0,2026-06-05,523.76,0.91,-0.61,2.51,-21.52,18.61,11.55,6.62,672.2988,-22.09,288
161,IBM,IBM,US,Information Technology,IT Consulting & Other Services,267716919713.0,2026-06-05,284.84,-5.61,-4.35,27.11,10.85,-4.64,10.02,-1.0,329.23,-13.48,288
162,MCK,McKesson Corporation,US,Health Care,Health Care Distributors,93237470971.0,2026-06-05,775.66,2.47,4.59,4.42,-15.53,-3.5,9.78,-5.62,994.5903,-22.01,288
168,RCL,Royal Caribbean Group,US,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",75094593840.0,2026-06-05,280.0,-4.53,-1.12,-1.96,1.21,6.83,7.21,-0.11,359.6902,-22.16,288
169,IDXX,Idexx Laboratories,US,Health Care,Health Care Equipment,44344863475.0,2026-06-05,562.16,-0.46,-0.24,-2.95,-7.6,-22.56,7.11,-16.09,766.68,-26.68,288
177,PLTR,Palantir Technologies,US,Information Technology,Application Software,324907689316.0,2026-06-05,135.53,-4.35,-13.42,1.3,-13.76,-23.03,4.25,-19.26,207.18,-34.58,288
191,MDT,Medtronic,US,Health Care,Health Care Equipment,104854882659.0,2026-06-05,81.67,-0.32,10.65,5.24,-9.42,-18.66,-1.56,-14.28,103.7341,-21.27,288
192,SNPS,Synopsys,US,Information Technology,Application Software,89009165395.0,2026-06-05,464.85,-5.99,-2.26,-7.84,6.27,-0.34,-1.76,-3.24,645.35,-27.97,288
193,HCA,HCA Healthcare,US,Health Care,Health Care Facilities,82553245857.0,2026-06-05,372.13,2.85,-1.69,-13.35,-30.05,-23.32,-1.84,-20.77,544.3204,-31.63,288
